gene_name,NC_1,NC_2,NC_3,S4_1,S4_2,S4_3
TMEM150B,0,0,0,0,0,0
TMEM150C,36,45,44,30,23,24
TMEM151A,0,0,1,0,0,1
TMEM151B,1,1,1,1,6,1
TMEM154,152,179,197,437,482,402
TMEM156,9,3,7,48,59,50
TMEM158,14,13,4,91,106,80
TMEM160,37,41,48,46,36,51
TMEM161A,120,116,102,90,133,106
TMEM161B,398,435,449,604,746,664
TMEM163,3,0,1,0,2,0
TMEM164,237,228,254,420,474,425
TMEM165,3294,3861,3620,2974,3324,2969
TMEM167A,2968,3360,3529,2651,3035,2444
TMEM167B,2265,2418,2570,1786,1998,1607
TMEM168,928,1034,1085,897,1046,924
TMEM169,7,9,9,10,9,10
TMEM17,69,71,85,41,48,58
TMEM170A,224,245,253,392,467,364
TMEM170B,178,214,174,157,161,137
TMEM171,16,21,29,31,54,29
TMEM174,0,0,0,0,1,0
TMEM175,185,216,189,131,143,99
TMEM176A,0,0,0,0,0,0
TMEM176B,0,0,0,0,0,0
TMEM177,30,28,33,65,68,61
TMEM178A,50,43,51,8,4,6
TMEM178B,80,105,100,79,44,40
TMEM179,0,3,1,11,2,9
TMEM179B,322,306,358,200,225,192
TMEM18,382,459,474,599,650,533
TMEM181,2255,2437,2437,2729,2890,2471
TMEM182,63,53,48,75,114,65
TMEM183A,799,912,906,901,941,806
TMEM184A,35,31,20,31,53,33
TMEM184B,1253,1378,1348,1454,1497,1154
TMEM184C,1488,1607,1624,1294,1404,1156
TMEM185A,429,476,433,355,389,360
TMEM185B,874,952,933,1342,1553,1242
TMEM186,90,98,100,116,155,120
TMEM187,30,54,52,20,25,19
TMEM19,678,808,742,627,683,558
TMEM190,0,3,6,4,0,0
TMEM191B,3,1,0,3,0,2
TMEM191C,4,1,8,3,7,3
TMEM192,738,796,833,841,1089,844
TMEM196,0,0,0,0,0,0
TMEM198,50,48,40,24,20,17
TMEM199,245,229,255,541,613,477
TMEM200A,2320,2460,2436,2180,2382,1973
TMEM200B,620,704,645,364,366,309
TMEM200C,0,0,0,0,0,0
TMEM201,89,71,118,290,295,281
TMEM202,0,0,0,0,0,0
TMEM203,286,314,320,394,473,348
TMEM204,390,385,382,480,563,485
TMEM205,153,163,129,188,211,186
TMEM207,0,0,0,0,0,0
TMEM208,239,245,276,296,353,252
TMEM209,395,434,441,884,937,821
